"id","icao","iata","name","city","municipality","country_id/id","elevation","latitude","longitude","tz","lid"
"aerodrome_YTKS","YTKS","","Toorak Research Station Airport","","Queensland","base.au","128","-21.0417","141.787","Australia/Brisbane",""
"aerodrome_YTKY","YTKY","TKY","Turkey Creek Airport","Turkey Creek","Western Australia","base.au","0","-17.0408","128.20599","Australia/Perth",""
"aerodrome_YTLG","YTLG","","Taralga Grathawa Airport","","New South Wales","base.au","3031","-34.2892","149.782","Australia/Sydney",""
"aerodrome_YTLL","YTLL","","Tullamore Airport","","New South Wales","base.au","0","-32.6167","147.60001","Australia/Sydney",""
"aerodrome_YTLP","YTLP","","Tilpa Airport","Tilpa","New South Wales","base.au","0","-30.9333","144.41701","Australia/Sydney",""
"aerodrome_YTLT","YTLT","","Tarlton Downs Airport","","Northern Territory","base.au","0","-22.6333","136.8","Australia/Darwin",""
"aerodrome_YTMB","YTMB","","Tambo Airport","","Queensland","base.au","457","-24.85","146.283","Australia/Brisbane",""
"aerodrome_YTML","YTML","","Tamala Airport","","Western Australia","base.au","0","-26.6667","113.733","Australia/Perth",""
"aerodrome_YTMN","YTMN","","Tanami Airport","","Northern Territory","base.au","427","-19.9167","129.72501","Australia/Darwin",""
"aerodrome_YTMO","YTMO","PHQ","The Monument Airport","","Queensland","base.au","949","-21.8111","139.924","Australia/Brisbane",""
"aerodrome_YTMP","YTMP","TPR","Tom Price Airport","Tom Price","Western Australia","base.au","2300","-22.746","117.869","Australia/Perth",""
"aerodrome_YTMS","YTMS","","Tambar Springs Airport","","New South Wales","base.au","0","-31.315","149.847","Australia/Sydney",""
"aerodrome_YTMU","YTMU","TUM","Tumut Airport","","New South Wales","base.au","878","-35.2628","148.241","Australia/Sydney",""
"aerodrome_YTMY","YTMY","TYP","Tobermorey Airport","Tobermorey","Northern Territory","base.au","0","-22.2558","137.953","Australia/Darwin",""
"aerodrome_YTNB","YTNB","","Tanbar Airport","","Queensland","base.au","344","-25.8478","141.92799","Australia/Brisbane",""
"aerodrome_YTNC","YTNC","","Tuncurry Airport","","New South Wales","base.au","0","-32.15","152.483","Australia/Sydney",""
"aerodrome_YTNE","YTNE","","Tenneco Station One Airport","","South Australia","base.au","0","-28.7333","140.05","Australia/Adelaide",""
"aerodrome_YTNG","YTNG","ZBL","Thangool Airport","Biloela","Queensland","base.au","644","-24.4939","150.576","Australia/Brisbane",""
"aerodrome_YTNK","YTNK","TCA","Tennant Creek Airport","Tennant Creek","Northern Territory","base.au","1236","-19.6344","134.183","Australia/Darwin",""
"aerodrome_YTNN","YTNN","","Tenneco Station Four Airport","","South Australia","base.au","0","-31.1833","139.383","Australia/Adelaide",""
"aerodrome_YTNR","YTNR","","Tanumbirini Airport","","Northern Territory","base.au","0","-16.45","134.64999","Australia/Darwin",""
"aerodrome_YTNS","YTNS","","Toliness Airport","","Queensland","base.au","0","-25.32145","146.06882","Australia/Brisbane",""
"aerodrome_YTOA","YTOA","","Toolachie Airport","","South Australia","base.au","0","-28.4083","140.81","Australia/Adelaide",""
"aerodrome_YTOB","YTOB","","Toomba Airport","","Queensland","base.au","0","-19.9333","145.58299","Australia/Brisbane",""
"aerodrome_YTOC","YTOC","TCW","Tocumwal Airport","","New South Wales","base.au","372","-35.8117","145.608","Australia/Sydney",""
"aerodrome_YTOG","YTOG","","Togo Station Airport","","New South Wales","base.au","0","-30.0822","149.532","Australia/Sydney",""
