"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_KSER_23","23","aerodrome_KSER","1676.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSER_14","14","aerodrome_KSER","1677.01","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSER_32","32","aerodrome_KSER","1677.01","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSET_09","09","aerodrome_KSET","609.6","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSET_27","27","aerodrome_KSET","609.6","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSET_18","18","aerodrome_KSET","1158.54","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSET_36","36","aerodrome_KSET","1158.54","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSEZ_03","03","aerodrome_KSEZ","1563.32","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSEZ_21","21","aerodrome_KSEZ","1563.32","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFB_09C","09C","aerodrome_KSFB","1090.57","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFB_27C","27C","aerodrome_KSFB","1090.57","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFB_09L","09L","aerodrome_KSFB","2926.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFB_27R","27R","aerodrome_KSFB","2926.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFB_09R","09R","aerodrome_KSFB","1066.8","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFB_27L","27L","aerodrome_KSFB","1066.8","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFB_18","18","aerodrome_KSFB","1829.71","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFB_36","36","aerodrome_KSFB","1829.71","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFF_22R","22R","aerodrome_KSFF","1371.6","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFF_22L","22L","aerodrome_KSFF","807.72","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFM_07","07","aerodrome_KSFM","1828.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFM_25","25","aerodrome_KSFM","1828.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFM_14","14","aerodrome_KSFM","1523.7","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFM_32","32","aerodrome_KSFM","1523.7","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFO_01L","01L","aerodrome_KSFO","2286.0","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_19R","19R","aerodrome_KSFO","2286.0","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_01R","01R","aerodrome_KSFO","2635.91","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_19L","19L","aerodrome_KSFO","2635.91","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_10L","10L","aerodrome_KSFO","3617.98","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_28R","28R","aerodrome_KSFO","3617.98","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_10R","10R","aerodrome_KSFO","3231.49","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFO_28L","28L","aerodrome_KSFO","3231.49","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSFQ_04","04","aerodrome_KSFQ","1526.13","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFQ_22","22","aerodrome_KSFQ","1526.13","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFQ_07","07","aerodrome_KSFQ","1432.56","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFQ_25","25","aerodrome_KSFQ","1432.56","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSFY_13","13","aerodrome_KSFY","1219.5","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSFY_31","31","aerodrome_KSFY","1219.5","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSFZ_05","05","aerodrome_KSFZ","1524.0","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFZ_23","23","aerodrome_KSFZ","1524.0","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSFZ_15","15","aerodrome_KSFZ","978.41","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSFZ_33","33","aerodrome_KSFZ","978.41","uom.product_uom_meter","22.86","uom.product_uom_meter"
